brand_name,manufacturer,generic_name,strength_value,strength_unit,form,pack_size,mrp_inr
Telma 40,Glenmark,telmisartan,40,mg,tablet,30,234.00
Amlong 5,Micro Labs,amlodipine,5,mg,tablet,30,106.00
Glycomet 500,USV,metformin,500,mg,tablet,20,35.00
Ecosprin 75,USV,aspirin,75,mg,tablet,14,9.30
Warf 5,Cipla,warfarin,5,mg,tablet,30,128.00
Dolo 650,Micro Labs,paracetamol,650,mg,tablet,15,33.60
Pan 40,Alkem,pantoprazole,40,mg,tablet,15,155.00
Atorva 10,Zydus,atorvastatin,10,mg,tablet,30,95.00
Clopilet 75,Sun Pharma,clopidogrel,75,mg,tablet,10,55.00
Losar 50,Unichem,losartan,50,mg,tablet,15,72.00
Aciloc 300,Cadila Healthcare,ranitidine,300,mg,tablet,10,26.00
Crocin 500,GSK,paracetamol,500,mg,tablet,15,18.50
Foracort 200 Rotacap,Cipla,budesonide + formoterol,200,mcg,other,30,285.00
Thyronorm 25mcg,Abbott,levothyroxine,25,mcg,tablet,100,131.00
Voveran 50,Novartis,diclofenac,50,mg,tablet,20,29.00
Spasril,Franco-Indian Pharmaceuticals,dicyclomine + paracetamol,10,mg,tablet,20,32.00
Nozia 10,Alkem,domperidone,10,mg,tablet,10,22.00
Augmentin 625 Duo,GlaxoSmithKline,amoxicillin + clavulanic acid,625,mg,tablet,6,223.00
Glycomet GP 1,USV,metformin + glimepiride,500,mg,tablet,20,95.00
Azithral 500,Alembic Pharmaceuticals,azithromycin,500,mg,tablet,5,132.00
Duphalac,Abbott,lactulose,,,syrup,200,145.00
