salt_a,salt_b,severity,mechanism_en,explanation_en,explanation_hi,action_en,action_hi
aspirin,warfarin,major,Additive anticoagulant/antiplatelet effect — increased bleeding risk,"{a} and {b} both make bleeding easier. Taken together they can cause serious bleeding.","{a} और {b} दोनों खून को पतला करते हैं। साथ लेने से गंभीर ब्लीडिंग (खून बहने) का खतरा है।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
ibuprofen,warfarin,major,NSAID plus anticoagulant — GI bleeding risk,"{a} is a painkiller that can cause stomach bleeding, and {b} thins the blood. Together the bleeding risk is high.","{a} एक दर्द निवारक है जो पेट में ब्लीडिंग कर सकती है, और {b} खून पतला करती है। साथ में खतरा बढ़ जाता है।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
aspirin,clopidogrel,moderate,Dual antiplatelet — bleeding risk unless deliberately prescribed,"{a} and {b} both reduce clotting. Sometimes doctors prescribe them together on purpose, but confirm this is intended.","{a} और {b} दोनों खून जमने से रोकते हैं। कभी-कभी डॉक्टर इन्हें जानबूझकर साथ देते हैं, पर एक बार पक्का कर लें।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
amlodipine,simvastatin,moderate,CYP3A4 interaction — simvastatin dose should not exceed 20 mg,"{a} can raise the level of {b} in the blood. The simvastatin dose usually should not be more than 20 mg with it.","{a}, {b} का स्तर खून में बढ़ा सकती है। साथ में सिमवास्टेटिन की खुराक आमतौर पर 20 mg से ज़्यादा नहीं होनी चाहिए।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
spironolactone,telmisartan,moderate,ARB plus potassium-sparing diuretic — hyperkalemia risk,"{a} and {b} can both raise potassium in the blood. Too much potassium can affect the heart.","{a} और {b} दोनों खून में पोटैशियम बढ़ा सकती हैं। ज़्यादा पोटैशियम दिल पर असर डाल सकता है।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
potassium chloride,telmisartan,moderate,ARB plus potassium supplement — hyperkalemia risk,"{a} adds potassium and {b} keeps potassium in the body. Together potassium can get too high.","{a} पोटैशियम बढ़ाती है और {b} उसे शरीर में रोकती है। साथ में पोटैशियम बहुत ज़्यादा हो सकता है।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
isosorbide dinitrate,sildenafil,major,Nitrate plus PDE5 inhibitor — severe hypotension,"{a} and {b} together can drop blood pressure dangerously low. This combination should be avoided.","{a} और {b} साथ लेने से ब्लड प्रेशर खतरनाक रूप से गिर सकता है। इन्हें साथ नहीं लेना चाहिए।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
sertraline,tramadol,major,Serotonin syndrome risk,"{a} and {b} together can raise serotonin too much, which can be dangerous (serotonin syndrome).","{a} और {b} साथ में सेरोटोनिन बहुत बढ़ा सकती हैं, जो खतरनाक हो सकता है।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
atorvastatin,clarithromycin,moderate,CYP3A4 inhibition — myopathy risk,"{b} can raise the level of {a}, which may cause muscle pain or damage.","{b}, {a} का स्तर बढ़ा सकती है, जिससे मांसपेशियों में दर्द या नुकसान हो सकता है।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
metoprolol,verapamil,moderate,Additive cardiac depression — bradycardia risk,"{a} and {b} together can slow the heart too much. Your pulse and blood pressure need watching.","{a} और {b} साथ में दिल की धड़कन बहुत धीमी कर सकती हैं। नब्ज़ और ब्लड प्रेशर पर नज़र ज़रूरी है।","Discuss with your doctor before the next dose.","अगली खुराक से पहले डॉक्टर से बात करें।"
